"","ID","Category","Unit","Rubric","Translation","Question","Choices","Solution","Image","Tags"
"10","11","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","다음 항공편은 있을 것이다 / 오후 2시에.","{{c1::The next flight will be at 2:00 p.m.}}","the next flight / will / be / at / 2:00 pm","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"11","12","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","그 성은(~에 위치해) 있다 / 정상에 (그 산의).","{{c1::The castle stands on top of the mountain.}}","the castle / stands / on / top / of / the mountain","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"12","13","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","독도는 (~에 위치해) 있다 / 동해에 (한국과 일본 사이의).","{{c1::Dokdo lies in the East Sea between Korea and Japan.}}","dokdo / lies / in / the East Sea / between / Korea / and / Japan","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"13","14","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","나는 침대에 계속 있을 것이다 / 그리고 5분을 더 잘 것이다.","{{c1::I will stay in bed and get an extra 5 minutes sleep.}}","I / will / stay / in / bed / and / get / an extra 5 minutes sleep","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"14","15","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","우리는 살고 있다 / 빠르게 변화하는 정보(화) 사회에.","{{c1::We live in a rapidly changing information society.}}","we / live / in / a rapidly changing / information society","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"15","16","CHAPTER 01 동사와 문장의 기본 구조","UNIT 02 SVA","문장을 완성하라.","내 친구들과 나는 갔다 / 박물관에 / 지난주.","{{c1::My friends and I went to a museum last week.}}","my friends / and / I / went / to / a museum / last week","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_02_SVA"
"16","17","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","21세기는 ~이다 / 시대 (정보와 지식의).","{{c1::The 21st century is the age of information and knowledge.}}","the 21st century / is / the age / of / information / and / knowledge","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"17","18","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","물은 필수적이다 / 우리 뇌가 원활하게 기능하는 데.","{{c1::Water is vital for our brain to function smoothly.}}","water / is / vital / for / our brain / to / function / smoothly","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"18","19","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","열정은 (즐거움에 대한) / 비결이다 (젊은 채로 있을 수 있는).","{{c1::A passion for pleasure is the secret of remaining young.}}","a passion / for / pleasure / is / the secret / of / remaining / young","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"19","20","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","접근성은 (의료 서비스의) / 문제로 남아 있다 / 세계 여러 지역에서.","{{c1::Access to medical services remains a problem in many parts of the world.}}","access / to / medical services / remains / a problem / in / many parts / of / the world","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"20","21","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","그저 (있는 그대로의) 너 자신이 되어라, // 그리고 너의 가치관에 충실해라.","{{c1::Just be yourself, and stay true to your values.}}","just / be / yourself / and / stay / true / to / your values","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"21","22","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","당신은 나이가 드는 것이 아니다. // 당신은 더 나아지는 것이다.","{{c1::You don’t get older; you get better.}}","you / don’t / get / older / you / get / better","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"22","23","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","적당한 영양분과 휴식이 / 학생들에게 중요해 보인다.","{{c1::Proper nutrition and relaxation seem important for students.}}","proper / nutrition /  and / relaxation / seem / important / for / students","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"23","24","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","아이들은 불안해 할 수 있다 / 새로운 환경에서.","{{c1::Children can feel insecure in a new environment.}}","children / can / feel / insecure / in / a new environment","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"24","25","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","이 기침약은 (아이들을 위한) / 과일 맛이 난다.","{{c1::This cough medicine for kids tastes like fruit.}}","this / cough medicine / for / kids / tastes / like / fruit","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"25","26","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","이 반지는 예뻐 보인다 / 나의 다른 반지들과 함께.","{{c1::This ring looks lovely with my other rings.}}","this ring / looks / lovely / with / my other rings","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"26","27","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","음악이 매우 크게 들렸다, // 그래서 우리는 서로 큰 소리로 말해야 했다.","{{c1::The music sounded very loud, so we had to shout to each other.}}","the music / sounded / very loud / so / we / had to / shout / to / each other","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"27","28","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","나의 꿈은 실현되었다 / 결국에는.","{{c1::My dream came true after all.}}","my dream / came / true / after all","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"28","29","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","극도로 더운 날씨에는, / 유제품이 쉽게 상한다.","{{c1::In extremely hot weather, dairy products go bad easily.}}","in / extremely hot weather / dairy products / go / bad / easily","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"29","30","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","그녀는 창백해졌다 / 피를 보고는.","{{c1::She turned pale at the sight of blood.}}","she / turned / pale / at / the sight / of / blood","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"30","31","CHAPTER 01 동사와 문장의 기본 구조","UNIT 03 SVC","문장을 완성하라.","우리의 지구는 고통 받고 있다 // 그리고 시간은 부족해져 간다. 우리는 이제 행동해야만 한다.","{{c1::Our Earth is suffering and time is running short. We must act now.}}","our Earth / is / suffering / and / time / is / running short / We / must / act / now","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_03_SVC"
"31","32","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","서투른 직공이 / 자신의 연장을 탓한다.","{{c1::A bad workman blames his tools.}}","a / bad / workman / blames / his / tools","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"32","33","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","수레를 놓지 마라 / 말 앞에.","{{c1::Don’t put the cart before the horse.}}","don’t / put / the cart / before / the horse","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"33","34","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","옛말에 이르기를, / 큰 포부가 큰 사람을 만든다.","{{c1::According to an old saying, great hopes make great men.}}","according to / an old saying / great hopes / make / great men","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"34","35","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","K-pop이라는 용어는 / 현대의 한국 대중음악을 묘사한다.","{{c1::The term K-pop describes contemporary Korean pop music.}}","the term K-pop / describes / contemporary / Korean / pop / music","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"35","36","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","한 마디의 친절한 말이 / 누군가의 하루 전체를 변화시킬 수 있다.","{{c1::One kind word can change someone’s entire day.}}","one / kind / word / can / change / someone’s / entire day","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"36","37","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","깊이는 (우정의) / (~에) 달려 있지 않다 / 기간에 (친분의).","{{c1::Depth of friendship does not depend on length of acquaintance.}}","depth / of / friendship / does not / depend / on / length of acquaintance","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"37","38","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","나는 고대한다 / 당신을 직접 만나는 것을.","{{c1::I look forward to meeting you in person.}}","I / look forward / to / meeting / you / in / person","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"38","39","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","그 식물을 놓아주세요 / 창문 가까이에.","{{c1::Please place the plant close to the window.}}","please / place / the plant / close / to / the window","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"39","40","CHAPTER 01 동사와 문장의 기본 구조","UNIT 04 SVO/SVOA","문장을 완성하라.","귀중품을 보관하세요 / 안전한 장소에.","{{c1::Keep your valuables in a safe place.}}","keep / your / valuables / in / a safe place","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_04_SVO/SVOA"
"40","41","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","인생은 사람들에게 (~을) 주지 않는다 / 두 번째 기회를.","{{c1::Life doesn’t give people a second chance.}}","life / doesn’t / give / people / a second chance","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"41","42","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","시간과 경험은 / 네게 가르쳐줄 것이다 / 값을 매길 수 없는 교훈들을.","{{c1::Time and experience will teach you priceless lessons.}}","time / and / experience / will / teach / you / priceless / lessons","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"42","43","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","아무도 너에게 평화를 가져다줄 수 없다 / 너 자신 외에는.","{{c1::Nobody can bring you peace but yourself.}}","nobody / can / bring / you / peace / but / yourself","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"43","44","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","상상력은 우리에게 준다 / 감정을 (행복의).","{{c1::Imagination offers us feelings of happiness.}}","imagination / offers / us / feelings / of / happiness","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"44","45","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","나는 당신에게 기원합니다 / 즐거운 성탄과 행복한 신년을.","{{c1::I wish you a Merry Christmas and a Happy New Year.}}","I / wish / you / a Merry Christmas / and / a Happy New Year","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"45","46","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","돈은 우리에게 사줄 수 없다 / 건강을.","{{c1::Money can’t buy us good health.}}","money / can’t / buy / us / good health","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"46","47","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","그 친절한 사서는 / 학생에게 찾아주었다 / 책을 (로마 역사에 관한).","{{c1::The friendly librarian found the student the book about Roman history.}}","the friendly librarian / found / the student / the book / about / Roman history","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"47","48","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","(제가 당신에게) 부탁 하나 해도 될까요?","{{c1::Can I ask you a favor?}}","can / I / ask / you / a favor / ?","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"48","49","CHAPTER 01 동사와 문장의 기본 구조","UNIT 05 SVOO","문장을 완성하라.","아빠는 때때로 우리 가족에게 만들어주신다 / 다양한 요리를 (감자로 만든).","{{c1::My dad sometimes makes our family various dishes with potatoes. | My dad sometimes makes various dishes with potatoes to our family.}}","my dad / sometimes / makes / our family / various dishes / with potatoes","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_05_SVOO"
"49","50","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","우리의 결점을 인정하는 것이 / 만들 수 있다 / 우리를 더 나은 사람들로.","{{c1::Accepting our imperfections can make us better people.}}","accepting / our imperfections / can / make / us / better people","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"50","51","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","역사를 공부하는 것은 / 만들 수 있다 / 여러분을 더 박식하게.","{{c1::Studying history can make you more knowledgeable.}}","studying / history / can / make / you / more knowledgeable","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"51","52","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","극도로 건조한 날씨는 / 만들었다 / 그 불이 통제 불가가 되도록.","{{c1::The uncommonly dry weather drove the fire out of control.}}","the uncommonly dry weather / drove / the fire / out of control","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"52","53","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","소음이 (밖에서 오는) / 나를 깨어 있게 했다 / 밤새도록.","{{c1::The noise from outside kept me awake all night.}}","the noise / from / outside / kept / me / awake / all night","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"53","54","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","나는 생각한다 / 몇몇 다큐멘터리가 (TV에서 하는) / 매우 교육적이라고.","{{c1::I think some documentaries on TV very educational.}}","I / think / some documentaries on TV / very educational","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"54","55","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","스포츠 해설가들은 생각했다 / 그가 올해 최고의 선수라고.","{{c1::Sports commentators considered him this year’s best player.}}","sports commentators / considered / him / this year’s best player","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"55","56","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","나는 알게 되었다 그 정보가 우리의 일에 매우 유용하다는 것을.","{{c1::I found the information very useful to our work.}}","I / found / the information / very useful / to our work","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"56","57","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","어떤 사람들은 부른다 / 뇌를 살아 있는 컴퓨터라고.","{{c1::Some people call the brain a living computer.}}","some people / call / the brain / a living computer","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"57","58","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","많은 독자들은 알게 되었다 / 이 책이 영어를 배우는 데 도움이 된다는 것을.","{{c1::Many readers found this book helpful in learning English.}}","many readers / found / this book / helpful / in / learning / English","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"58","59","CHAPTER 01 동사와 문장의 기본 구조","UNIT 06 SVOC","문장을 완성하라.","우리는 그가 정직하다고 생각한다 / 자신의 임무 수행에 있어.","{{c1::We believe him honest in the performance of his duties.}}","we / believe / him / honest / in / the performance / of / his duties","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_06_SVOC"
"59","60","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","분석가들은 논의 중이다 / 가능한 원인들에 대해 (그 비행기 사고의).","{{c1::Analysts are discussing possible causes of the air crash.}}","analysts / are / discussing / possible / causes / of / the air crash / about","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"60","61","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","두 시간을 걸은 후에, / 우리는 마침내 해안에 도착했다.","{{c1::After two hours’ walk, we finally reached the coast.}}","after / two hours’ walk / we / finally / reached / the coast / to","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"61","62","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","그는 내 문자 메시지에 답장을 했다 / 대략 한 시간 후에.","{{c1::He answered my text message about an hour later.}}","he / answered / my text message / about / an hour later / to","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"62","63","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","그 일은 어울릴 것이다 / 사람에게 (컴퓨터 지식이 있는).","{{c1::The job would suit someone with computer knowledge.}}","the job / would / suit / someone / with / computer knowledge / to","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"63","64","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","먼지가 두껍게 내려 앉아 있었다 / 바닥 위에.","{{c1::Dirt was lying thick upon the floor.}}","dirt / was lying / thick / upon / the floor","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"64","65","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","나는 깨어 있었다 / 어젯밤에. 나는 잠을 잘 수가 없었다.","{{c1::I lay awake last night. I was not able to sleep.}}","I / lay awake / last night / I / was / not / able to / sleep","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"65","66","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","갈릴레오 갈릴레이는 확립했다 / 기초를 (근대 과학의).","{{c1::Galileo Galilei laid the foundation of modern science.}}","galileo Galilei / laid / the foundation / of / modern science","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"66","67","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","손을 들어 주시길 바랍니다 // 도움이 필요하실 때.","{{c1::Please raise your hand when you need assistance.}}","please / raise / your hand / when / you / need / assistance","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"67","68","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","따뜻한 기간 동안, / 빙하가 녹는다 // 그리고 해수면이 상승한다.","{{c1::During warm periods, glaciers melt and the sea level rises.}}","during / warm periods / glaciers / melt / and / the sea level / rises","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"68","69","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","그녀는 그 상황을 설명해줬다 / 나에게 명확하게.","{{c1::explained the situation clearly to me.}}","she / explained / the situation / clearly / to / me","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"69","70","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","여행은 우리에게 소개해줄 수 있다 / 새로운 사람, 경험, 그리고 음식을.","{{c1::Travel can introduce to us new people, experiences, and foods.}}","travel / can / introduce / to us / new people / experiences / and / foods","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"70","71","CHAPTER 01 동사와 문장의 기본 구조","UNIT 07 주의해야 할 동사와 문형","문장을 완성하라.","그는 다른 생각을 제안했다 / 우리에게.","{{c1::He suggested a different idea to us.}}","he / suggested / a different idea / to us","","","천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_07_주의해야할_동사와_문형"
"71","72","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","감정을 표현하는 것은 / 좋다 / 당신의 정신 건강에.","{{c1::To express feelings is good for your mental health.}}","to / express / feelings / is / good / for / your mental health","","",""
"72","73","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","중요한 시험을 위해 벼락공부를 하는 것은 / 나쁜 생각인 것 같다!","{{c1::Cramming for an important exam seems like a bad idea}}!","cramming / for / an important exam / seems / like / a bad idea","","",""
"73","74","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","여러분 자신의 에세이를 큰 소리로 읽는 것은 / 여러분이 오류를 찾도록 도와줄 수 있습니다.","{{c1::To read your own essay aloud can help you find the errors.}}","to read / your own essay / aloud / can / help / you / find / the errors","","",""
"74","75","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","알지 못하는 것은 / 나쁘다. 알고 싶어 하지 않는 것은 / 더 나쁘다.","{{c1::Not to know is bad. Not to wish to know is worse.}}","not / to know / is / bad / not / to wish / to know / is / worse","","",""
"75","76","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","다른 사람의 관점을 이해하려고 노력하는 것은 / 좋은 습관이다 (인생에 있어서).","{{c1::Trying to see the other person’s point of view is a good rule in life.}}","trying / to / see / the other person’s point of view / is / a good rule / in / life","","",""
"76","77","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","새로운 가능성을 찾는 것은 / 탐구심을 갖고 / 필수적이다 / 성공적이 되는 데.","{{c1::Searching for new possibilities with an inquisitive mind is essential to be successful.}}","searching for / new possibilities / with / an inquisitive mind / is / essential / to / be / successful","","",""
"77","78","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","충분한 수면을 취하지 않는 것은 / 일반적인 원인이다 (다크서틀의(눈 밑)).","{{c1::Not getting enough sleep is a common cause of dark circles under the eyes.}}","not getting / enough sleep / is / a common cause / of / dark circles / under / the eyes","","",""
"78","79","CHAPTER 02 주어의 이해","UNIT 08 명사구 주어","문장을 완성하라.","사람들의 이름을 기억하는 것은 / 첫 번째 단계이다 (관계 형성을 향한).","{{c1::Remembering[To remember] people’s names is the first step towards relationship building.}}","remembering[to remember] / people’s names / is / the first step / towards / relationship building","","",""
"79","80","CHAPTER 02 주어의 이해","UNIT 09 명사절 주어Ⅰ","문장을 완성하라.","우리가 다른 사람들에 대해 궁금해하는 것은 // 자연스러운 일이다.","{{c1::That we are curious about others is natural.}}","that / we / are / curious / about / others / is / natural ","","",""
"80","81","CHAPTER 02 주어의 이해","UNIT 09 명사절 주어Ⅰ","문장을 완성하라.","네가 성공할 것인지 아닌지는 // 너의 의지에 달려 있다.","{{c1::Whether you will succeed or not depends on your will.}}","whether / you / will / succeed or not / depends / on / your will","","",""
